"Time","Particulas_PM25"
2022-03-10 14:22:46,62 μg/m³
2022-03-10 14:27:46,60 μg/m³
2022-03-10 14:32:46,62 μg/m³
2022-03-10 14:37:46,61 μg/m³
2022-03-10 14:42:47,54 μg/m³
2022-03-10 14:47:47,60 μg/m³
2022-03-10 14:52:47,58 μg/m³
2022-03-10 14:57:47,62 μg/m³
2022-03-10 15:02:47,60 μg/m³
2022-03-10 15:07:47,61 μg/m³
2022-03-10 15:12:48,61 μg/m³
2022-03-10 15:17:48,65 μg/m³
2022-03-10 15:22:48,66 μg/m³
2022-03-10 15:27:58,68 μg/m³
2022-03-10 15:33:08,69 μg/m³
2022-03-10 15:38:18,69 μg/m³
2022-03-10 15:43:29,74 μg/m³
2022-03-10 15:48:39,73 μg/m³
2022-03-10 15:53:49,88 μg/m³
2022-03-10 15:58:59,77 μg/m³
2022-03-10 16:04:10,76 μg/m³
2022-03-10 16:09:20,76 μg/m³
2022-03-10 16:14:30,69 μg/m³
2022-03-10 16:19:40,73 μg/m³
2022-03-10 16:24:51,74 μg/m³
2022-03-10 16:30:01,73 μg/m³
2022-03-10 16:35:11,77 μg/m³
2022-03-10 16:40:21,76 μg/m³
2022-03-10 16:45:32,76 μg/m³
2022-03-10 16:50:42,84 μg/m³
2022-03-10 16:55:52,83 μg/m³
2022-03-10 17:01:02,89 μg/m³
2022-03-10 17:06:12,89 μg/m³
2022-03-10 17:11:23,90 μg/m³
2022-03-10 17:16:33,88 μg/m³
2022-03-10 17:21:43,96 μg/m³
2022-03-10 17:26:53,93 μg/m³
2022-03-10 17:32:03,95 μg/m³
2022-03-10 17:37:14,102 μg/m³
2022-03-10 17:42:24,104 μg/m³
2022-03-10 17:47:34,98 μg/m³
2022-03-10 17:52:44,94 μg/m³
2022-03-10 17:57:54,88 μg/m³
2022-03-10 18:03:05,92 μg/m³
2022-03-10 18:08:15,94 μg/m³
2022-03-10 18:13:25,92 μg/m³
2022-03-10 18:18:35,96 μg/m³
2022-03-10 18:23:46,94 μg/m³
2022-03-10 18:28:56,98 μg/m³
2022-03-10 18:34:06,96 μg/m³
2022-03-10 18:39:16,100 μg/m³
2022-03-10 18:44:26,101 μg/m³
2022-03-10 18:49:37,108 μg/m³
2022-03-10 18:54:47,115 μg/m³
2022-03-10 18:59:57,120 μg/m³
2022-03-10 19:05:07,116 μg/m³
2022-03-10 19:10:18,110 μg/m³
2022-03-10 19:17:24,112 μg/m³
2022-03-10 19:22:34,113 μg/m³
2022-03-10 19:27:44,117 μg/m³
2022-03-10 19:32:54,121 μg/m³
2022-03-10 19:38:05,113 μg/m³
2022-03-10 19:43:15,108 μg/m³
2022-03-10 19:48:25,105 μg/m³
2022-03-10 19:53:35,111 μg/m³
2022-03-10 19:58:46,118 μg/m³
2022-03-10 20:03:56,119 μg/m³
2022-03-10 20:09:06,139 μg/m³
2022-03-10 20:14:16,133 μg/m³
2022-03-10 20:19:26,130 μg/m³
2022-03-10 20:24:37,139 μg/m³
2022-03-10 20:29:47,139 μg/m³
2022-03-10 20:34:57,122 μg/m³
2022-03-10 20:40:07,103 μg/m³
2022-03-10 20:45:18,97 μg/m³
2022-03-10 20:50:28,124 μg/m³
2022-03-10 20:55:38,136 μg/m³
2022-03-10 21:00:48,112 μg/m³
2022-03-10 21:05:58,94 μg/m³
2022-03-10 21:11:09,93 μg/m³
2022-03-10 21:16:19,93 μg/m³
2022-03-10 21:21:29,92 μg/m³
2022-03-10 21:26:39,95 μg/m³
2022-03-10 21:31:49,100 μg/m³
2022-03-10 21:37:00,98 μg/m³
2022-03-10 21:42:10,90 μg/m³
2022-03-10 21:47:20,85 μg/m³
2022-03-10 21:52:30,80 μg/m³
2022-03-10 21:57:41,87 μg/m³
2022-03-10 22:02:51,81 μg/m³
2022-03-10 22:08:01,87 μg/m³
2022-03-10 22:13:11,83 μg/m³
2022-03-10 22:18:21,83 μg/m³
2022-03-10 22:23:32,90 μg/m³
2022-03-10 22:28:42,93 μg/m³
2022-03-10 22:33:52,110 μg/m³
2022-03-10 22:39:02,93 μg/m³
2022-03-10 22:44:13,107 μg/m³
2022-03-10 22:49:23,110 μg/m³
2022-03-10 22:54:33,94 μg/m³
2022-03-10 22:59:43,103 μg/m³
2022-03-10 23:04:53,123 μg/m³
2022-03-10 23:10:04,118 μg/m³
2022-03-10 23:15:14,95 μg/m³
2022-03-10 23:20:24,93 μg/m³
2022-03-10 23:25:34,93 μg/m³
2022-03-10 23:30:44,91 μg/m³
2022-03-10 23:35:55,88 μg/m³
2022-03-10 23:41:05,90 μg/m³
2022-03-10 23:46:15,95 μg/m³
2022-03-10 23:51:25,106 μg/m³
2022-03-10 23:56:35,108 μg/m³
2022-03-11 00:01:46,106 μg/m³
2022-03-11 00:06:56,105 μg/m³
2022-03-11 00:12:06,97 μg/m³
2022-03-11 00:17:16,100 μg/m³
2022-03-11 00:22:26,99 μg/m³
2022-03-11 00:26:39,103 μg/m³
2022-03-11 00:31:49,101 μg/m³
2022-03-11 01:17:24,162 μg/m³
2022-03-11 01:22:34,158 μg/m³
2022-03-11 01:27:44,148 μg/m³
2022-03-11 01:32:55,125 μg/m³
2022-03-11 01:38:05,121 μg/m³
2022-03-11 01:43:15,107 μg/m³
2022-03-11 01:48:25,110 μg/m³
2022-03-11 01:53:35,110 μg/m³
2022-03-11 01:58:46,112 μg/m³
2022-03-11 02:03:56,104 μg/m³
2022-03-11 02:09:06,103 μg/m³
2022-03-11 02:14:16,103 μg/m³
2022-03-11 02:19:26,100 μg/m³
2022-03-11 02:24:37,99 μg/m³
2022-03-11 02:29:47,90 μg/m³
2022-03-11 02:34:57,85 μg/m³
2022-03-11 02:40:07,63 μg/m³
2022-03-11 02:45:17,54 μg/m³
2022-03-11 02:50:18,55 μg/m³
2022-03-11 02:55:18,53 μg/m³
2022-03-11 03:00:18,54 μg/m³
2022-03-11 03:05:19,61 μg/m³
2022-03-11 03:10:19,56 μg/m³
2022-03-11 03:15:19,63 μg/m³
2022-03-11 03:20:19,59 μg/m³
2022-03-11 03:25:19,51 μg/m³
2022-03-11 03:30:19,49 μg/m³
2022-03-11 03:35:20,44 μg/m³
2022-03-11 03:40:20,37 μg/m³
2022-03-11 03:45:20,31 μg/m³
2022-03-11 03:50:20,27 μg/m³
2022-03-11 03:55:21,30 μg/m³
2022-03-11 04:00:21,21 μg/m³
2022-03-11 04:05:21,25 μg/m³
2022-03-11 04:10:21,25 μg/m³
2022-03-11 04:15:21,17 μg/m³
2022-03-11 04:20:22,21 μg/m³
2022-03-11 04:25:22,11 μg/m³
2022-03-11 04:30:22,23 μg/m³
2022-03-11 04:35:22,15 μg/m³
2022-03-11 04:40:23,12 μg/m³
2022-03-11 04:45:23,14 μg/m³
2022-03-11 04:50:23,12 μg/m³
2022-03-11 04:55:23,12 μg/m³
2022-03-11 05:00:24,15 μg/m³
2022-03-11 05:05:24,12 μg/m³
2022-03-11 05:10:24,14 μg/m³
2022-03-11 05:15:25,11 μg/m³
2022-03-11 05:20:25,12 μg/m³
2022-03-11 05:25:25,15 μg/m³
2022-03-11 05:30:25,15 μg/m³
2022-03-11 05:35:26,19 μg/m³
2022-03-11 05:40:26,17 μg/m³
2022-03-11 05:45:26,16 μg/m³
2022-03-11 05:50:26,14 μg/m³
2022-03-11 05:55:27,18 μg/m³
2022-03-11 06:00:27,15 μg/m³
2022-03-11 06:05:28,16 μg/m³
2022-03-11 06:10:28,17 μg/m³
2022-03-11 06:15:28,18 μg/m³
2022-03-11 06:20:28,24 μg/m³
2022-03-11 06:25:29,27 μg/m³
2022-03-11 06:30:29,22 μg/m³
2022-03-11 06:35:29,23 μg/m³
2022-03-11 06:40:29,21 μg/m³
2022-03-11 06:45:29,18 μg/m³
2022-03-11 06:50:30,20 μg/m³
2022-03-11 06:55:30,22 μg/m³
2022-03-11 07:00:30,21 μg/m³
2022-03-11 07:05:30,24 μg/m³
2022-03-11 07:10:31,21 μg/m³
2022-03-11 07:27:51,20 μg/m³
2022-03-11 07:32:52,21 μg/m³
2022-03-11 07:37:52,22 μg/m³
2022-03-11 07:42:52,20 μg/m³
2022-03-11 07:47:52,22 μg/m³
2022-03-11 07:52:52,22 μg/m³
2022-03-11 07:57:53,24 μg/m³
2022-03-11 08:02:53,26 μg/m³
2022-03-11 08:07:53,22 μg/m³
2022-03-11 08:12:53,24 μg/m³
2022-03-11 08:17:53,23 μg/m³
2022-03-11 08:22:54,25 μg/m³
2022-03-11 08:27:54,24 μg/m³
